Dato	Time	P_mm	T_minC	T_maxC	F_MetaRiverStation
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
1.4.2000	0:00:00	0.139	17.831	26.173	743.0
2.4.2000	0:00:00	2.867	17.889	26.253	660.0
3.4.2000	0:00:00	15.641	17.857	23.652	562.0
4.4.2000	0:00:00	4.042	18.292	24.134	526.0
5.4.2000	0:00:00	4.777	18.331	24.073	684.0
6.4.2000	0:00:00	13.075	18.214	25.089	871.0
7.4.2000	0:00:00	27.444	18.408	22.714	830.0
8.4.2000	0:00:00	0.0	18.091	26.357	1071.0
9.4.2000	0:00:00	0.266	18.089	26.919	1150.0
10.4.2000	0:00:00	0.899	18.344	25.768	975.0
11.4.2000	0:00:00	8.456	18.612	25.303	818.0
12.4.2000	0:00:00	14.525	18.368	23.137	770.0
13.4.2000	0:00:00	12.202	18.158	25.15	823.0
14.4.2000	0:00:00	2.289	18.177	25.258	1024.0
15.4.2000	0:00:00	0.022	18.649	26.141	1060.0
16.4.2000	0:00:00	3.309	19.211	24.447	980.0
17.4.2000	0:00:00	23.649	18.469	23.77	822.0
18.4.2000	0:00:00	0.984	18.498	26.649	758.0
19.4.2000	0:00:00	1.888	18.754	26.676	878.0
20.4.2000	0:00:00	3.922	18.658	26.286	889.0
21.4.2000	0:00:00	12.884	18.464	24.546	812.0
22.4.2000	0:00:00	6.855	18.139	26.196	765.0
23.4.2000	0:00:00	16.213	18.965	24.774	756.0
24.4.2000	0:00:00	19.596	18.819	23.496	797.0
25.4.2000	0:00:00	1.984	18.072	25.779	958.0
26.4.2000	0:00:00	24.284	18.387	26.403	1214.0
27.4.2000	0:00:00	2.911	18.944	26.269	1252.0
28.4.2000	0:00:00	2.901	18.802	23.887	1231.0
29.4.2000	0:00:00	5.679	18.334	24.368	1143.0
30.4.2000	0:00:00	4.155	18.39	26.033	1095.0
1.5.2000	0:00:00	23.424	18.653	25.512	1118.0
2.5.2000	0:00:00	1.224	17.964	25.773	1480.0
3.5.2000	0:00:00	14.674	19.157	26.579	1508.0
4.5.2000	0:00:00	35.109	18.219	24.62	1577.0
5.5.2000	0:00:00	2.525	18.516	26.274	1646.0
6.5.2000	0:00:00	26.054	18.476	24.262	1660.0
7.5.2000	0:00:00	1.119	18.544	26.424	1994.0
8.5.2000	0:00:00	23.43	18.608	25.785	2133.0
9.5.2000	0:00:00	22.35	17.971	24.074	2445.0
10.5.2000	0:00:00	7.761	18.575	23.835	2496.0
11.5.2000	0:00:00	0.26	18.332	26.324	2589.0
12.5.2000	0:00:00	21.313	18.506	23.179	2603.0
13.5.2000	0:00:00	10.18	18.403	25.022	2754.0
14.5.2000	0:00:00	11.227	17.769	24.945	2880.0
15.5.2000	0:00:00	37.283	18.11	24.33	2925.0
16.5.2000	0:00:00	9.551	18.488	25.753	2978.0
17.5.2000	0:00:00	10.408	19.016	24.683	3020.0
18.5.2000	0:00:00	7.754	18.617	24.895	3045.0
19.5.2000	0:00:00	11.526	18.502	24.116	3036.0
20.5.2000	0:00:00	24.337	18.309	23.702	3013.0
21.5.2000	0:00:00	15.576	18.404	22.625	2998.0
22.5.2000	0:00:00	20.312	18.348	22.732	2974.0
23.5.2000	0:00:00	9.15	17.984	25.048	2966.0
24.5.2000	0:00:00	20.026	18.311	24.919	3003.0
25.5.2000	0:00:00	3.349	18.092	23.004	3066.0
26.5.2000	0:00:00	2.374	18.529	26.04	3155.0
27.5.2000	0:00:00	0.08	18.61	24.247	3223.0
28.5.2000	0:00:00	42.91	17.978	23.082	3161.0
29.5.2000	0:00:00	0.358	17.721	25.298	2971.0
30.5.2000	0:00:00	14.074	17.838	24.157	2976.0
31.5.2000	0:00:00	30.721	17.781	22.642	3023.0
1.6.2000	0:00:00	0.57	18.073	23.964	3140.0
2.6.2000	0:00:00	0.0	17.966	25.932	3207.0
3.6.2000	0:00:00	10.698	17.892	22.797	3032.0
4.6.2000	0:00:00	8.846	18.081	24.435	2757.0
5.6.2000	0:00:00	23.878	17.551	23.256	2578.0
6.6.2000	0:00:00	0.334	18.292	24.297	2688.0
7.6.2000	0:00:00	4.888	17.391	25.017	2473.0
